OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
4794,2021,GENERAL MOTORS CORP.,SAVANNA VAN,Van,WHI,,Thursday,N,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,9/22/2022 5:00:00 AM,9/22/2022 5:00:00 AM,2022,"HIGHWAY 417, HWY 417 PINECRE IC129R61",West,5050028.00,Morning,Theresa Kavanagh,700,700,-75.7863809637351,45.3515338664836
4795,2020,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,WHI,55000,Wednesday,N,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,9/22/2022 5:00:00 AM,9/21/2022 5:00:00 AM,2022,"DEVONSHIRE AVE, ISLAND PARK DR",Central,5050034.00,Evening,Jeff Leiper,600,2100,-75.7300051436433,45.3908732954149
4796,2022,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Automobile,WHI,44000,Wednesday,N,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,9/22/2022 5:00:00 AM,9/21/2022 5:00:00 AM,2022,"BLACKDOME CRES W, KALBROOK ST W",West,5050160.07,Evening,Cathy Curry,600,2200,-75.9222819482227,45.319546582713
4797,2021,"HONDA/AMERICAN HONDA MOTOR CO.,",,Suv,WHI,,Thursday,N,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,9/22/2022 5:00:00 AM,9/22/2022 5:00:00 AM,2022,"RAINTREE DR, VALLEYWOOD PL S",East,5050125.06,Night,Catherine Kitts,800,100,-75.5272875039655,45.4386020100237
4798,2019,FORD,,Automobile,WHI,,Thursday,Y,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,9/22/2022 5:00:00 AM,9/22/2022 5:00:00 AM,2022,"HWY 417 INNES IC112R54, HWY 417 INNES IC112R58",East,5050122.02,Night,Tim Tierney,500,500,-75.6126277662866,45.4137542140099
4799,2021,ACURA,RDX,Suv,BLK,,Thursday,N,East Industrial,Ward 18 - Alta Vista,Sector 33,9/22/2022 5:00:00 AM,9/22/2022 5:00:00 AM,2022,"TRAINYARDS DR, RAILMARKET",East,5050011.01,Afternoon,Marty Carr,1800,1300,-75.6445221087573,45.4131948574332
4800,2022,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,GRY,60000,Thursday,Y,Hunt Club East - Western Community,Ward 16 - River,Sector 35,9/22/2022 5:00:00 AM,9/22/2022 5:00:00 AM,2022,"ERIN CRES N, LILLICO DR N",East,5050002.05,Morning,Riley Brockington,700,700,-75.6705919622596,45.3451005145182
4801,2020,LEXUS,,Automobile,BLK,60000,Thursday,Y,Carlingwood West - Glabar Park - McKellar Heights,Ward 7 - Bay,Sector 14,9/22/2022 5:00:00 AM,9/22/2022 5:00:00 AM,2022,"KILLEEN AVE, SHARON AVE",West,5050025.00,Morning,Theresa Kavanagh,800,800,-75.7575801945449,45.3707830217132
4802,2021,JEEP (1989 AND AFTER),WRANGLER,Automobile,GRY,,Wednesday,Y,Centretown,Ward 14 - Somerset,Sector 23,9/23/2022 5:00:00 AM,9/21/2022 5:00:00 AM,2022,"BANK ST, GLADSTONE AVE",Central,5050038.00,Evening,Ariel Troster,1200,1900,-75.6936004752405,45.4121406230445
4803,2018,NISSAN,ALTIMA,Automobile,WHI,,Thursday,N,Metcalfe,Ward 20 - Osgoode,Sector 36,9/23/2022 5:00:00 AM,9/22/2022 5:00:00 AM,2022,"8TH LINE RD, MARVELVILLE RD",East,5050190.01,Evening,George Darouze,700,2100,-75.4455576900795,45.1837391961979
4804,2014,FORD,SPECIAL,Automobile,GRY,,Friday,Y,Centretown,Ward 14 - Somerset,Sector 23,9/23/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"KENT ST, MACLAREN ST",Central,5050038.00,Evening,Ariel Troster,200,2100,-75.6979667855381,45.4138078548149
4805,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,WHI,25000,Friday,N,Orléans Chapel Hill,Ward 2 - Orléans West-Innes,Sector 31,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"BAIE VERTE CRES, WAINFLEET ST",East,5050125.07,Afternoon,Laura Dudas,900,1600,-75.5263583918887,45.4579209467818
4806,2020,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Automobile,BLU,45000,Saturday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,9/24/2022 5:00:00 AM,9/24/2022 5:00:00 AM,2022,"KEYROCK DR, LAUGHLIN CIRC N",West,5050160.03,Night,Cathy Curry,900,200,-75.9344559236381,45.3218847119592
4807,2020,ACURA,RDX,Suv,BLK,40000,Friday,N,Barrhaven,Ward 3 - Barrhaven West,Sector 16,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"KENNEVALE DR, MERNER AVE",West,5050140.04,Evening,David Hill,800,2000,-75.7715478500159,45.2667482853588
4808,2021,"HONDA/AMERICAN HONDA MOTOR CO.,",,Automobile,WHI,37000,Friday,N,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"TISCHART CRES, DOYON AVE, KEYROCK DR",West,5050160.03,Evening,Cathy Curry,900,2200,-75.932760739868,45.32357979647
4809,2012,GENERAL MOTORS CORP.,SIERRA,Truck,GRY,,Sunday,Y,Corkery,Ward 5 - West Carleton-March,Sector 11,9/24/2022 5:00:00 AM,9/11/2022 5:00:00 AM,2022,"HAMILTON SIDE RD, JOHN KENNEDY WAY",West,5050300.00,Afternoon,Clarke Kelly,1000,1700,-76.0890916038111,45.2194909415322
4810,,,,Other,WHI,600,Friday,N,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"LEES AVE, KING EDWARD AVE, MANN AVE",Central,5050050.00,Afternoon,Stéphanie Plante,0,1300,-75.6773937790134,45.418976625758
4811,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,RED,,Friday,N,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"CHARKAY ST, SEYMOUR AVE",West,5050131.02,Evening,Sean Devine,800,2200,-75.7233898721237,45.3530846656443
4812,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,WHI,55000,Friday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"BAMBURGH WAY, MARAVISTA DR",West,5050141.15,Evening,David Hill,700,2200,-75.7778006286217,45.2698878761651
4813,2020,VOLKSWAGEN,,Automobile,GRY,,Friday,Y,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Sector 35,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"EQUUS WAY, EQUUS WAY, EQUUS WAY, EQUUS WAY",East,5050123.01,Evening,Jessica Bradley,1900,2100,-75.6493689239015,45.3494617943491
4814,2022,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,WHI,70000,Friday,Y,Chapman Mills - Rideau Crest - Davidson Heights,Ward 24 - Barrhaven East,Sector 16,9/24/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"FAIRPARK DR, SUNVALE WAY",West,5050141.09,Evening,Wilson Lo,800,2200,-75.7075247315701,45.2755359980163
4815,1990,FORD,,Automobile,WHI,,Saturday,N,Centretown,Ward 14 - Somerset,Sector 23,9/25/2022 5:00:00 AM,9/24/2022 5:00:00 AM,2022,"BAY ST, MACLAREN ST",Central,5050040.00,Evening,Ariel Troster,1300,2000,-75.7016256628422,45.4123170728098
4816,2019,HYUNDAI,SONATA,Automobile,GRY,,Sunday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,9/25/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"FAIRLAKES WAY N, GOLDENBROOK WAY",East,5050171.09,Morning,Catherine Kitts,600,600,-75.4751369495124,45.4452012872527
4817,2022,"HONDA/AMERICAN HONDA MOTOR CO.,",,Suv,BLK,,Sunday,N,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,9/25/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"PRINCE ALBERT ST, VERA ST",Central,5050013.00,Afternoon,Rawlson King,1800,1300,-75.6600512101369,45.4239804612876
4818,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,RED,,Sunday,N,Stittsville,Ward 6 - Stittsville,Sector 13,9/26/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"HUNTMAR DR, MAPLE GROVE RD",West,5050151.07,Afternoon,Glen Gower,1400,1600,-75.9203617339763,45.2888964616523
4819,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Suv,BLK,,Sunday,N,Ottawa South,Ward 17 - Capital,Sector 22,9/26/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"BRISTOL AVE, SUNNYSIDE AVE",Central,5050016.00,Evening,Shawn Menard,800,2100,-75.676909314225,45.3969878402267
4820,2020,JEEP (1989 AND AFTER),GRAND CHEROKEE,Automobile,BLK,70000,Monday,N,Cumberland,Ward 1 - Orléans East-Cumberland,Sector 37,9/26/2022 5:00:00 AM,9/26/2022 5:00:00 AM,2022,MASHKIG AVE,East,5050171.06,,Matthew Luloff,800,,-75.4692145133475,45.5015930194122
4821,2022,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,GRY,,Sunday,N,Ottawa South,Ward 17 - Capital,Sector 22,9/26/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"GROSVENOR AVE, HOPEWELL AVE",Central,5050017.00,Evening,Shawn Menard,1100,2200,-75.6854154175604,45.3925764779877
4822,2018,JEEP (1989 AND AFTER),GRAND CHEROKEE,Suv,BLK,110000,Sunday,N,Greely,Ward 20 - Osgoode,Sector 36,9/26/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"EARL ARMSTRONG RD, BOWESVILLE RD S",East,5050126.04,Evening,George Darouze,500,2000,-75.6360902135576,45.2936415986614
4823,2023,DODGE,RAM 1500 PU,Automobile,RED,,Sunday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,9/26/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"AQUARIUM AVE, STICKLEBACK WAY",East,5050171.09,Evening,Catherine Kitts,700,2100,-75.4940112047702,45.445834752881
4824,2016,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,SIL,,Tuesday,N,Greenbelt - Mer Bleue,Ward 10 - Gloucester-Southgate,Sector 31,9/27/2022 5:00:00 AM,9/27/2022 5:00:00 AM,2022,"RAMSAYVILLE RD, WALKLEY EXTENSION RD",East,5050125.03,Morning,Jessica Bradley,1300,1100,-75.5845868441052,45.4010453894573
4825,2013,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,BLK,,Sunday,Y,Carleton Heights - Rideauview,Ward 16 - River,Sector 17,9/27/2022 5:00:00 AM,9/25/2022 5:00:00 AM,2022,"DEBRA AVE, MEADOWLANDS DR",West,5050020.01,Evening,Riley Brockington,1500,1900,-75.7032086758224,45.3674552418138
4826,,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,WHI,,Tuesday,N,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,9/27/2022 5:00:00 AM,9/27/2022 5:00:00 AM,2022,"COPERNICUS ST, LAURIER AVE",Central,5050050.00,Morning,Stéphanie Plante,1600,600,-75.6838111270261,45.4249314648502
4827,2020,"HONDA/AMERICAN HONDA MOTOR CO.,",,Suv,SIL,,Tuesday,N,Laurentian,Ward 7 - Bay,Sector 14,9/27/2022 5:00:00 AM,9/27/2022 5:00:00 AM,2022,"SAVILLE ROW, BETWEEN HAYMARKET ST & LOCKHART AVE",West,5050032.01,Afternoon,Theresa Kavanagh,1500,1300,-75.7695749652297,45.3742032210506
4828,2020,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,BLK,,Wednesday,N,Braemar Park - Bel Air Heights - Copeland Park,Ward 8 - College,Sector 17,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"BONNIE CRES, GLENMOUNT AVE",West,5050023.01,Night,Laine Johnson,800,0,-75.7463926817793,45.3662239416943
4829,2005,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,BLU,,Wednesday,Y,Carp,Ward 5 - West Carleton-March,Sector 11,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,CARP RD,West,5050300.00,Afternoon,Clarke Kelly,1900,1600,-76.0040460564216,45.3190329024335
4830,2020,JEEP (1989 AND AFTER),WRANGLER,Automobile,BLK,,Tuesday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,9/28/2022 5:00:00 AM,9/27/2022 5:00:00 AM,2022,"KINGSDALE AVE, SIXTH ST",East,5050123.02,Evening,Jessica Bradley,900,2300,-75.6221773367405,45.3497115601774
4831,2013,HYUNDAI,SANTA FE,Suv,GRY,,Wednesday,Y,Billings Bridge - Alta Vista,Ward 17 - Capital,Sector 34,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"DATA CENTRE RD, 270M S OF RIVERSIDE DR",East,5050004.00,Morning,Shawn Menard,1700,800,-75.6799827264543,45.3838503877909
4832,2008,FORD,RANGER,Truck,GRY,2000,Wednesday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"COBOURG ST, BESSERER ST",Central,5050052.00,Morning,Stéphanie Plante,900,900,-75.6772777140112,45.4314463692778
4833,,,,Motorcycle,BLU,,Wednesday,N,Centretown,Ward 14 - Somerset,Sector 23,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"BANK ST, SLATER ST",Central,5050048.00,Afternoon,Ariel Troster,1300,1200,-75.699752064401,45.4193356058705
4834,2022,LAND ROVER,,Automobile,WHI,100000,Wednesday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"FERNSIDE ST, FIDDLEHEAD ST",East,5050126.03,Morning,Steve Desroches,800,800,-75.5902808818479,45.3267860666337
4835,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,BLU,,Tuesday,N,Carlington,Ward 16 - River,Sector 21,9/28/2022 5:00:00 AM,9/27/2022 5:00:00 AM,2022,"ADMIRAL AVE, CRERAR AVE",Central,5050021.00,Evening,Riley Brockington,800,2100,-75.7299910323133,45.384867869874
4836,2021,JEEP (1989 AND AFTER),,Automobile,GRY,80000,Tuesday,N,Ottawa South,Ward 17 - Capital,Sector 22,9/28/2022 5:00:00 AM,9/27/2022 5:00:00 AM,2022,"RIVERDALE AVE, SUNNYSIDE AVE",Central,5050016.00,Evening,Shawn Menard,500,2200,-75.6790573748321,45.396063468079
4837,2018,FORD,F150,Automobile,GRY,30000,Wednesday,Y,Laurentian,Ward 15 - Kitchissippi,Sector 14,9/28/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"GREENWOOD AVE, MELBOURNE AVE",West,5050033.01,Morning,Jeff Leiper,700,700,-75.7504619599762,45.3828803523416
4838,2010,DODGE,JOURNEY,Automobile,BLK,3600,Wednesday,Y,Civic Hospital-Central Park,Ward 16 - River,Sector 21,9/29/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"FISHER AVE, 220 S OF TRENT ST",Central,5050021.00,Evening,Riley Brockington,200,2200,-75.7201888676797,45.3777670768561
4839,2015,GENERAL MOTORS CORP.,,Truck,BLU,,Thursday,Y,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,9/29/2022 5:00:00 AM,9/29/2022 5:00:00 AM,2022,"CLAUDE ST, DAN AVE",East,5050061.00,Night,Rawlson King,400,400,-75.6382147113923,45.431878776245
4840,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,GRY,,Wednesday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,9/29/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"MONK ST, WILTON LANE",Central,5050018.00,Evening,Shawn Menard,900,2000,-75.6862803209543,45.3977719448039
4841,2020,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,GRY,30000,Wednesday,N,Carson Grove - Carson Meadows,Ward 13 - Rideau-Rockcliffe,Sector 32,9/29/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"BERMUDA AVE, CRYSTAL ST",East,5050062.01,Evening,Rawlson King,800,1900,-75.627377050994,45.4442679395281
4842,2021,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,WHI,50000,Thursday,N,Barrhaven,Ward 3 - Barrhaven West,Sector 16,9/29/2022 5:00:00 AM,9/29/2022 5:00:00 AM,2022,"MANNINGTON CRT, WEYBRIDGE DR",West,5050140.04,Morning,David Hill,800,800,-75.7678043998565,45.271594907978
4843,2021,"HONDA/AMERICAN HONDA MOTOR CO.,",,Suv,BLU,,Wednesday,N,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,9/29/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"DWIGHT CRES N, TAWNEY RD N",East,5050010.00,Evening,Marty Carr,1200,1800,-75.6175745583445,45.3967841939393
4844,2022,"HONDA/AMERICAN HONDA MOTOR CO.,",,Automobile,BLU,,Thursday,Y,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,9/29/2022 5:00:00 AM,9/29/2022 5:00:00 AM,2022,"CLARKSON CRT S, PICKFORD DR S",West,5050160.04,Morning,Allan Hubley,800,800,-75.879299847867,45.305237917749
4845,2021,"HONDA/AMERICAN HONDA MOTOR CO.,",,Suv,WHI,,Wednesday,N,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,9/29/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"BEAUFORT DR, BRODEUR CRES N",West,5050160.04,Evening,Allan Hubley,900,2200,-75.8902728555339,45.3141698602625
4846,2022,"HONDA/AMERICAN HONDA MOTOR CO.,",,Suv,RED,,Wednesday,N,Orléans Chapel Hill,Ward 2 - Orléans West-Innes,Sector 31,9/29/2022 5:00:00 AM,9/28/2022 5:00:00 AM,2022,"BEAUSEJOUR DR, KAMOURASKA CIRC",East,5050125.07,Evening,Laura Dudas,1000,1900,-75.526902815207,45.458978430325
4847,2018,INFINITI,,Automobile,BLK,,Friday,Y,Hunt Club South Industrial,Ward 9 - Knoxdale-Merivale,Sector 17,9/29/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"WEST HUNT CLUB RD, ROYDON PL, SUNDERLAND ST",West,5050130.01,Afternoon,Sean Devine,1600,1200,-75.7194785883823,45.3367972414753
4848,2018,AUDI,,Suv,WHI,,Friday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,9/30/2022 5:00:00 AM,9/23/2022 5:00:00 AM,2022,"CARLING AVE, RICHMOND RD",West,5050028.00,Evening,Theresa Kavanagh,1400,2000,-75.7922640971215,45.3607761928304
4849,2007,NISSAN,VERSA,Automobile,GRY,,Friday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,9/30/2022 5:00:00 AM,9/30/2022 5:00:00 AM,2022,"FOURTH AVE, O'CONNOR ST",Central,5050018.00,Night,Shawn Menard,200,200,-75.6839998582509,45.4039677051075
4850,2022,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CORONA,Automobile,GRY,,Friday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,9/30/2022 5:00:00 AM,9/30/2022 5:00:00 AM,2022,"LONGMAN CRES N, VISENEAU DR N",East,5050125.08,Afternoon,Laura Dudas,1400,1400,-75.5159880730443,45.4535397165022
4851,2007,"TOYOTA/ TOYOTA MOTOR CO., LTD.",PRIUS,Automobile,BLU,,Friday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,10/1/2022 5:00:00 AM,9/30/2022 5:00:00 AM,2022,"265 E OF WOODROFFE AVE, NAVAHO DR",West,5050133.00,Afternoon,Laine Johnson,1200,1600,-75.7581911866108,45.3501995194917
4852,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,GRY,50000,Friday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,10/1/2022 5:00:00 AM,9/30/2022 5:00:00 AM,2022,"ISIDORE ST, KING GEORGE ST, LAWSON AVE",Central,5050012.00,Evening,Rawlson King,800,2100,-75.645493615847,45.4263086949556
4853,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,GRY,50000,Friday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,10/1/2022 5:00:00 AM,9/30/2022 5:00:00 AM,2022,"COLUMBUS AVE, EDITH AVE",Central,5050013.00,Evening,Rawlson King,600,2200,-75.6551698324892,45.4270105938112
4854,2018,"HONDA/AMERICAN HONDA MOTOR CO.,",ODYSSEY(MINIVAN),Van,SIL,,Friday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,10/1/2022 5:00:00 AM,9/30/2022 5:00:00 AM,2022,"ADENCLIFFE DR, PRINCESS LOUISE DR",East,5050170.10,Evening,Matthew Luloff,1500,2200,-75.4841150313811,45.4825060008069
4855,2021,DODGE,RAM 1500 PU,Truck,SIL,,Saturday,N,Rockcliffe - Manor Park,Ward 13 - Rideau-Rockcliffe,Sector 25,10/1/2022 5:00:00 AM,10/1/2022 5:00:00 AM,2022,"DUNLOE AVE, THORNWOOD RD",Central,5050059.00,Night,Rawlson King,1400,300,-75.6575712709379,45.4502807960547
4856,2020,FORD,F150,Automobile,BLK,93000,Saturday,N,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,10/2/2022 5:00:00 AM,10/1/2022 5:00:00 AM,2022,"ISLAND PARK DR, RUSKIN ST",Central,5050034.00,Evening,Jeff Leiper,700,2200,-75.7321614219211,45.3905574203479
4857,2020,FORD,EXPLORER,Suv,BLK,,Saturday,N,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Sector 35,10/2/2022 5:00:00 AM,10/1/2022 5:00:00 AM,2022,"CROSSCUT TER, MILLSTREAM WAY",East,5050123.01,Evening,Jessica Bradley,900,2100,-75.6512521664616,45.3498208414692
4858,2021,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Automobile,BLU,35000,Sunday,N,Ottawa East,Ward 17 - Capital,Sector 22,10/2/2022 5:00:00 AM,10/2/2022 5:00:00 AM,2022,"CLEGG ST, DRUMMOND ST",Central,5050015.00,Morning,Shawn Menard,700,700,-75.6781294784513,45.4054964361854
4859,2015,FORD,,Truck,WHI,,Sunday,Y,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,10/2/2022 5:00:00 AM,10/2/2022 5:00:00 AM,2022,"HWY 417 INNES IC112R54, HWY 417 INNES IC112R58",East,5050122.02,Night,Tim Tierney,1300,300,-75.6126277662866,45.4137542140099
4860,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",TACOMA,Automobile,GRY,55000,Monday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,10/3/2022 5:00:00 AM,10/3/2022 5:00:00 AM,2022,"WOODY POINT DR, COYOTE BRUSH LANE",East,5050126.06,Night,Steve Desroches,700,200,-75.6726392142148,45.2820072357589
4861,2017,DODGE,,Van,BLU,,Sunday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,10/3/2022 5:00:00 AM,10/2/2022 5:00:00 AM,2022,"BAYCREST DR, CEDARWOOD DR",East,5050007.02,Evening,Marty Carr,900,2100,-75.651802923637,45.3778888838957
4862,,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,GRY,,Sunday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,10/3/2022 5:00:00 AM,10/2/2022 5:00:00 AM,2022,"BEAVERPOND DR, HALLMARK PL N",East,5050122.02,Evening,Tim Tierney,900,2000,-75.6031115310674,45.4250748124735
4863,2022,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Automobile,WHI,,Monday,N,Greely,Ward 20 - Osgoode,Sector 36,10/3/2022 5:00:00 AM,10/3/2022 5:00:00 AM,2022,"BREANNA CARDILL ST, BREANNA CARDILL ST",East,5050190.02,Morning,George Darouze,700,700,-75.5645844530495,45.2465042315234
4864,2021,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,GRY,,Saturday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,10/3/2022 5:00:00 AM,10/1/2022 5:00:00 AM,2022,"CUMBERLAND ST, ST. ANDREW ST",Central,5050056.00,Evening,Stéphanie Plante,1100,2200,-75.6917213327077,45.4331152694957
4865,2020,"HONDA/AMERICAN HONDA MOTOR CO.,",,Suv,GRY,,Monday,N,Greely,Ward 20 - Osgoode,Sector 36,10/3/2022 5:00:00 AM,10/3/2022 5:00:00 AM,2022,"OLD PRESCOTT RD, SUNSET BLVD",East,5050190.02,Night,George Darouze,700,300,-75.5779369020958,45.274946251927
4866,2021,"TOYOTA/ TOYOTA MOTOR CO., LTD.",TACOMA,Automobile,GRY,,Sunday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,10/3/2022 5:00:00 AM,10/2/2022 5:00:00 AM,2022,"BALINROAN CRES, AKITA WALK N",West,5050141.12,Evening,Wilson Lo,900,2100,-75.7332888921753,45.268256376627
4867,2008,NISSAN,,Automobile,BLU,,Monday,N,Bayshore,Ward 7 - Bay,Sector 14,10/4/2022 5:00:00 AM,10/3/2022 5:00:00 AM,2022,"KEMPSTER AVE, WALTER ST",West,5050029.00,Evening,Theresa Kavanagh,700,2200,-75.8065732101462,45.3565895520876
4868,2010,INFINITI,,Automobile,BRN,,Monday,Y,Centretown,Ward 14 - Somerset,Sector 23,10/4/2022 5:00:00 AM,8/29/2022 5:00:00 AM,2022,"KENT ST, LISGAR ST",Central,5050040.00,Afternoon,Ariel Troster,1600,1200,-75.6996530189877,45.4158085729603
4869,2021,JEEP (1989 AND AFTER),WRANGLER,Suv,GRN,,Tuesday,Y,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,10/4/2022 5:00:00 AM,10/4/2022 5:00:00 AM,2022,"HUNTERSFIELD DR, NEWPORT CRES W",East,5050001.06,Night,Jessica Bradley,900,200,-75.6296985051001,45.3622267738738
