OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
29,1994,OLDSMOBILE,CUSTOM CRUISER,Automobile,GRY,,Monday,Y,Woodroffe - Lincoln Heights,Ward 7 - Bay,Sector 14,5/28/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"DOMINION AVE, TAY ST",West,5050032.02,Afternoon,Theresa Kavanagh,700,1600,-75.7589964736322,45.3907803000944
30,2012,FORD,SPECIAL,Suv,BLK,,Wednesday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,5/29/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"GLENDALE AVE, PERCY ST",Central,5050036.00,Morning,Shawn Menard,1300,600,-75.6979580543012,45.4051554229387
31,2013,CHEVROLET,SILVERADO,Automobile,WHI,,Wednesday,Y,Bayshore,Ward 7 - Bay,Sector 14,5/29/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"CARLING AVE, SCRIVENS ST",West,5050029.00,Afternoon,Theresa Kavanagh,1400,1300,-75.8028135348999,45.3561347281132
32,2017,LEXUS,,Automobile,WHI,,Wednesday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,5/30/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"CHINIAN ST E, FARINCOURT CRES",East,5050171.09,Evening,Catherine Kitts,1300,2300,-75.4887401623509,45.4503475760695
33,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,GRY,,Wednesday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,5/30/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"LISBON ST, WINTERPORT WAY W",East,5050170.12,Evening,Matthew Luloff,700,2200,-75.4710513368571,45.476070968291
34,2002,FORD,,Truck,BLU,,Saturday,Y,Carlington,Ward 16 - River,Sector 21,6/2/2019 5:00:00 AM,6/1/2019 5:00:00 AM,2019,"CAVAN ST, EDGECLIFFE AVE",Central,5050022.00,Afternoon,Riley Brockington,1800,1200,-75.7358432319412,45.3755818589958
35,2000,GENERAL MOTORS CORP.,,Van,WHI,,Friday,Y,Carp,Ward 5 - West Carleton-March,Sector 11,6/2/2019 5:00:00 AM,5/31/2019 5:00:00 AM,2019,"DIAMONDVIEW RD, MCGEE SIDE RD",West,5050300.00,Morning,Clarke Kelly,1900,1000,-76.0218365074251,45.298382802033
36,2012,HYUNDAI,ACCENT,Automobile,DGR,,Saturday,N,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,6/2/2019 5:00:00 AM,6/1/2019 5:00:00 AM,2019,"GENEST ST, MARIER AVE",Central,5050104.00,Evening,Stéphanie Plante,700,1800,-75.6695038527908,45.4412615939989
37,2019,VOLKSWAGEN,GOLF,Automobile,WHI,23000,Thursday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,6/3/2019 5:00:00 AM,5/30/2019 5:00:00 AM,2019,"HWY417 IC142 RAMP52, PALLADIUM DR",West,5050300.00,Evening,Glen Gower,1700,1800,-75.9357958419521,45.2920873028851
38,2018,CHEVROLET,SUBURBAN,Suv,GRY,,Friday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,6/3/2019 5:00:00 AM,5/24/2019 5:00:00 AM,2019,"BANK ST, SIEVERIGHT AVE",East,5050123.02,Morning,Jessica Bradley,1300,1100,-75.6398341250333,45.3539150711296
39,1992,CATERPILLAR INC,,Other,,,Saturday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,6/3/2019 5:00:00 AM,6/1/2019 5:00:00 AM,2019,"BOUNDARY RD, INDCUM RD",East,5050126.04,Afternoon,George Darouze,700,1600,-75.4395846488616,45.3382120064871
40,2019,CHEVROLET,SUBURBAN,Suv,BLK,80000,Friday,Y,Bells Corners West,Ward 8 - College,Sector 15,6/3/2019 5:00:00 AM,5/24/2019 5:00:00 AM,2019,"TERRACE DR, WESTCLIFFE RD",West,5050136.02,Afternoon,Laine Johnson,1800,1300,-75.8414573071448,45.3179662880537
41,2003,MITSUBISHI,LANCER,Automobile,RED,,Tuesday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/4/2019 5:00:00 AM,6/4/2019 5:00:00 AM,2019,"AMBROSE DR S, FOXWELL ST S",East,5050122.02,Night,Tim Tierney,0,0,-75.6104551397457,45.4196520870773
42,2018,CHEVROLET,CRUZE,Automobile,GRY,,Tuesday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,6/4/2019 5:00:00 AM,6/4/2019 5:00:00 AM,2019,"CEDARWOOD DR, WALKLEY RD",East,5050007.02,Night,Marty Carr,300,300,-75.6522946714023,45.3748869613314
43,1986,CHEVROLET,CORVETTE,Automobile,BLK,29000,Sunday,N,Richmond,Ward 21 - Rideau-Jock,Sector 12,6/4/2019 5:00:00 AM,6/2/2019 5:00:00 AM,2019,"HIGHWAY 416, HWY 416 BANKFIEL IC57R53",West,5050200.02,Evening,David Brown,1800,1800,-75.733248597724,45.2049028300973
44,2018,HYUNDAI,,Automobile,WHI,,Wednesday,N,Westboro,Ward 15 - Kitchissippi,Sector 21,6/5/2019 5:00:00 AM,6/5/2019 5:00:00 AM,2019,"EDGEWOOD AVE, LINCOLN AVE",Central,5050033.01,Evening,Jeff Leiper,200,2000,-75.7510301721075,45.3919685535331
45,2013,CHEVROLET,SILVERADO,Truck,WHI,,Wednesday,Y,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,6/5/2019 5:00:00 AM,6/5/2019 5:00:00 AM,2019,"DUNBARTON CRT, ST. LAURENT BLVD",Central,5050060.00,Morning,Stéphanie Plante,800,800,-75.6494662421863,45.4457338139431
46,2013,LEXUS,GS300,Automobile,BLK,,Wednesday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,6/6/2019 5:00:00 AM,6/5/2019 5:00:00 AM,2019,"INDUSTRIAL AVE, RUSSELL RD",East,5050011.01,Evening,Marty Carr,1000,1900,-75.6355444663252,45.4091723721128
47,2018,SUBARU,OUTBACK,Automobile,WHI,,Saturday,Y,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,6/6/2019 5:00:00 AM,4/20/2019 5:00:00 AM,2019,"CLEAR SKIES PRIV, KIOWA PRIV",East,5050127.00,Morning,Jessica Bradley,1000,800,-75.6706456147745,45.3252924067602
48,1994,GENERAL MOTORS CORP.,SAFARI,Van,BLU,,Friday,Y,West Centertown,Ward 14 - Somerset,Sector 22,6/7/2019 5:00:00 AM,6/7/2019 5:00:00 AM,2019,"BOOTH ST, RAYMOND ST",Central,5050042.00,Morning,Ariel Troster,1900,900,-75.707237020104,45.4039504797244
49,2012,BMW,,Automobile,BRZ,14000,Saturday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,6/8/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"BARBERRY LANE, LANCASTER RD",East,5050011.01,,Marty Carr,200,,-75.6072654590871,45.3970587437892
50,2018,FORD,SPECIAL,Suv,BLK,,Friday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,6/8/2019 5:00:00 AM,6/7/2019 5:00:00 AM,2019,"GREENHAVEN CRES, WEST RIDGE DR N",West,5050151.06,Evening,Glen Gower,900,2200,-75.9264310702368,45.2518477869844
51,2017,BMW,,Automobile,BLK,50000,Saturday,Y,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,6/9/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"HARMER AVE, ISLAND PARK DR",Central,5050034.00,Afternoon,Jeff Leiper,900,1500,-75.7287634133605,45.3906277579604
